University,Department,Overall Pay,LW Ratio,Academic Year,Program Year,12 M Gross Pay,9 M Gross Pay,3 M Gross Pay,Fees,Comments
Massachusetts Institute of Technology (MIT),Computer Science ,"$5,000",0.18,2019-2020,4th,"$5,789",,,$789,Hhj
Johns Hopkins University (JHU),History,"$50,000",1.94,2025-2026,1st,"$50,000",,,,
University of Notre Dame (ND),Philosophy,"$42,000",2.05,2025-2026,5th,"$42,000",,,,"Before tax, with graduate school fellowship"
University of Massachusetts - Amherst (UMass),Mathematics ,"$32,278",1.41,2025-2026,5th,,"$29,556","$2,722",,Summer and winter also have TAs. But its not guaranteed.
University of California - Santa Barbara (UCSB),Statistics and Applied Probability,"$34,000",1.29,2025-2026,,,"$34,000",,,
University of California - Santa Barbara (UCSB),Statistics and Applied Probability,"$34,000",1.29,2025-2026,,,"$34,000",,,
University of California - Santa Barbara (UCSB),Statistics and Applied Probability,"$340,000",12.95,2025-2026,,,"$340,000",,,
Tulane University (TU),Chemical and Biomolecular Engineering,"$32,200",1.40,2024-2025,1st,"$33,000",,,$800,Adjusted every year for inflation.
Clemson University (CU),ECE,"$28,000",1.34,2025-2026,1st,,"$28,000",,,
University of Illinois - Urbana- Champaign (UIUC),Aerospace Engineering ,"$26,850",1.22,2025-2026,2nd,"$31,900",,,"$5,050",
Syracuse University,Math,"$34,300",1.61,2025-2026,1st,,"$28,800","$5,500",,
University of Virginia (UVA),Religious Studies,"$36,000",1.58,2025-2026,1st,"$36,000",,,,
Cornell University (CU),Tri-I CBM,"$55,000",2.27,2025-2026,2nd,"$55,000",,,,
University of Florida (UF),agricultural and biological engineering ,"$30,000",1.32,2025-2026,1st,"$30,000",,,,
University of Wisconsin - Madison (UW),Materials Science,"$35,800",1.57,2024-2025,,"$37,000",,,"$1,200",
University at Albany - SUNY,Computer Science,"$25,000",1.10,2025-2026,5th,,"$25,000",,,
Michigan State University (MSU),,"$29,269",1.43,2025-2026,,,"$22,269","$7,000",,
University of Southern California (USC),Public Policy and Management,"$41,200",1.59,2025-2026,1st,"$41,200",,,,
University of Oklahoma (OU),Department of Communication,"$24,000",1.19,2025-2026,2nd,,"$20,000","$4,000",,
University of California - Los Angeles (UCLA),Education,"$30,000",1.16,2025-2026,1st,,"$30,000",,,There is an additional $5000 for relocation fee in the 1st yr. Medical insurance included vision and dental.
University of Missouri (MU),Music Education,"$19,342",0.94,2025-2026,2nd,"$19,992",,,$650,
University of Oklahoma (OU),School of Civil Engineering and Environmental Science,"$22,000",1.09,2022-2023,3rd,"$24,000",,,"$2,000",
,Chemistry,"$45,000",,2025-2026,,"$45,000",,,,
Boston College (BC),Chemistry,"$40,000",1.43,2024-2025,,"$40,000",,,,
Boston College (BC),Chemistry,"$38,000",1.36,2023-2024,,"$38,000",,,,
University of Calgary,Werklund School of Education,"$15,000",,2024-2025,1st,"$24,000",,,"$9,000",
Northwestern University (NU),DGP Biomedical Sciences,"$46,356",1.91,2025-2026,1st,"$46,356",,,,$1000 moving allowance at first month. $1000 technology stipend in first year by reimbursement 
Northeastern University (NU),Bioengineering,"$43,400",1.52,2025-2026,1st,"$43,400",,,,
University of Maryland - College Park (UMD),Supply chain management ,"$37,550",1.24,2024-2025,1st,"$37,550",,,,
University of Maryland - Baltimore (UMB),Pharmaceutical Health Service Research (PHSR),"$35,400",1.38,2025-2026,2nd,"$35,400",,,,After qualifying exam it will go up to 38400 at least in year 20256-2026
University of Illinois - Chicago (UIC),Bioinformatics,"$36,962",1.52,2025-2026,1st,"$39,650",,,"$2,688",
Duke University (DU),Sociology,"$47,500",2.14,2025-2026,4th,"$47,500",,,,
University of Virginia (UVA),	Economics,"$2,000",0.09,2025-2026,1st,"$2,000",,,,i am not employee
Illinois State University (ISU),Computer Science,"$55,000",2.44,2025-2026,1st,,"$50,000","$5,000",,
University of Houston (UH),Industrial Engineering ,"$25,200",1.15,2025-2026,1st,"$25,200",,,,
University of California - Irvine (UCI),Experimental Pathology ,"$37,000",1.27,2024-2025,3rd,"$37,000",,,,
Pennsylvania State University (Penn State),Civil engineering,"$4,000",0.18,2025-2026,,"$10,000",,,"$6,000",
Georgia Institute of Technology (Georgia Tech),Public Policy,"$30,839",1.32,2025-2026,4th,"$32,796",,,"$1,957",This is after fees are deducted. Based on 12 month payment and no registration during summer.
University of Texas - San Antonio (UTSA)," School of Civil and Environmental Engineering,","$24,000",1.16,2025-2026,1st,"$24,000",,,,
Louisiana State University - Baton Rouge,Psychology,"$23,667",1.09,2025-2026,1st,,"$23,667",,,Summer funding available and common 
Ohio State University (OSU),Physics ,"$1,600",0.08,2025-2026,5th,"$2,600",,,"$1,000",
University of Delaware (UD),Chemistry,"$28,000",1.10,2022-2023,1st,"$30,000",,,"$2,000",
University of Wisconsin - Madison (UW),Computer Science,"$28,489",1.25,2025-2026,2nd,,"$29,319",,$830,Gross pay includes a $662.50 scholarship in addition to my $29157 base pay.
Utah State University (USU),School of Computing (computer science),"$16,700",0.81,2024-2025,1st,"$16,700",,,,16700$ stipend. 2500 fees for fall and spring semesters. 1500 tax each year. 
Utah State University (USU),School of Computing (computer science),"$14,200",0.69,2024-2025,1st,,"$16,700",,"$2,500",usually around 1500$ tax + 2500$ fees for fall and spring semesters. rent around 1000$ studio or one bed. 
University of Houston (UH),electrical & computer engineering,"$26,400",1.21,2025-2026,1st,,"$26,400",,,
University of New Hampshire (UNH),mechanical,"$34,900",1.47,2024-2025,,"$36,000",,,"$1,100",
University of Nevada - Reno (UNR),EECB,"$23,000",1.09,2025-2026,1st,,"$23,000",,,
University of Minnesota - Twin Cities (UM),Statistics ,"$26,029",1.14,2024-2025,2nd,,"$21,379","$7,050","$2,400","The department gives a guaranteed summer stipend of $3000 plus any other summer appointment you might get (which is not guaranteed). The guaranteed $3k is for 1st year to 3rd year only.

There is a new negotiated contract now, so expect the stipend to increase from next year."
Iowa State University (ISU),Electrical and Computer Engineering,"$28,200",1.33,2025-2026,1st,"$28,200",,,,Biweekly stipend of 1175$
Georgia State University (GSU),Statistics,"$23,000",0.99,2025-2026,1st,,"$23,000",,,
Iowa State University (ISU),"English/Rhetoric, Composition, and Professional Communication","$19,563",0.92,2025-2026,2nd,,"$19,700",,$137,"Health insurance available for 1,000-2,000 USD, dental available at extra cost. Had a particularly good scholarship that covers 100% tuition but that doesnt go to most people. Must teach 2 classes at 20 hours a week."
Ohio State University (OSU),Pharmacy,"$36,000",1.79,2025-2026,4th,"$36,000",,,,
North Carolina State University (NCSU),,"$31,000",1.36,2025-2026,5th,"$31,000",,,,
University of Arizona (U of A),Astronomy,"$39,853",1.92,2025-2026,1st,,"$24,000","$16,000",$147,
Northern Arizona University (NAU),Finance,"$45,000",1.92,2025-2026,1st,,"$45,000",,,
University of Texas at Dallas,Bioengineering,"$26,000",,2024-2025,,"$26,000",,,,
Oregon State University (OSU),Robotics,"$27,351",1.31,2025-2026,5th,"$27,600",,,$249,"We also get a tuition waiver, but it's not covered in this cost. Healthcare is also subsidized; we pay about $55 a month for it but the school covers the rest. "
alabama A and M University,Department of Natural Resources and Environmental Sciences,"$10,200",,2025-2026,2nd,"$21,600",,,"$11,400",
Stanford University (SU),,,0.00,2025-2026,,,,,,
Texas A&amp;M; University - College Station, Chemical Engineering ,"$26,300",,2025-2026,1st,,"$27,000",,$700,
Vanderbilt University,Cognitive Neuroscience ,"$9,901",0.43,2022-2023,1st,"$40,000",,,"$30,099",
Indiana University,Psychological and Brain Sciences,"$26,550",1.23,2025-2026,2nd,"$26,550",,,,"Guaranteed TA line for all 5 years of the program, split into $23,000 during the academic year and $3,550 during the summer. Comes out to around $2030 per month after tax withholding."
University of Wisconsin - Madison (UW),,"$35,636",1.56,2025-2026,,"$35,636",,,,
Yale University (YU),American Studies,"$50,600",2.05,2025-2026,1st,"$50,600",,,,
university of notre dame,history,"$38,000",,2024-2025,1st,"$38,000",,,,
Mayo Clinic ,Biomedical Science ,"$39,700",,2025-2026,1st,"$41,500",,,"$1,800",
Boston University (BU),Electrical Engineering,"$48,750",1.70,2025-2026,3rd,"$48,750",,,,
North Carolina State University (NCSU),Physics ,"$19,125",0.84,2025-2026,1st,,"$22,125",,"$3,000","They  give some money, but take a lot of it away and housing is costly. An one bed apartment is like 1000+/month"
Tennessee State University (TSU),Department of Ag Science and Engineering,"$26,400",1.15,2024-2025,2nd,"$26,400",,,,Tuition is not waived. Need to pay 5000/semester normally.
Tennessee State University (TSU),Department of Ag Science and Engineering,"$26,400",1.15,2024-2025,2nd,"$26,400",,,,
Purdue University - West Lafayette,Entomology,"$28,000",1.32,2024-2025,2nd,"$28,000",,,,
Brown University,Philosophy,"$52,198",2.29,2025-2026,,"$52,198",,,,first week one time 1750. health service fee covered
University of Washington (UW),BIME,"$46,384",1.99,2025-2026,4th,"$47,004",,,$620,
University of Virginia (UVA),Philosophy/PhD,"$36,000",1.58,2025-2026,1st,"$36,000",,,,
University of Texas Rio Grande Valley (UTRGV),MS ECE,"$15,000",,2022-2023,1st,"$15,000",,,,Health insurance not included and the school required ACA Complaint plans.
University of California - San Diego (UCSD),math,"$37,262",1.41,2024-2025,1st,,"$33,000","$4,262",,
Louisiana State University - Baton Rouge,ECE,"$32,000",1.47,2025-2026,1st,"$33,000",,,"$1,000",
University of California - Santa Barbara (UCSB),Physics,"$20,000",0.76,2025-2026,1st,"$60,869",,,"$40,869",
University of Pittsburgh,ECE,"$2,530",0.12,2025-2026,2nd,"$2,560",,,$30,
University of Notre Dame (ND),Chemical and Biomolecular Engineering,"$41,400",2.02,2025-2026,1st,"$41,400",,,,
Pennsylvania State University (Penn State),Educational Psychology,"$24,000",1.07,2023-2024,1st,"$24,000",,,,
Medical College of Wisconsin,Biophysics,"$36,354",1.69,2025-2026,2nd,"$36,354",,,,
Columbia University (CU),Biomedical Engineering,"$47,300",1.59,2025-2026,2nd,"$47,300",,,,
Yale University (YU),Physics,"$50,777",2.05,2025-2026,1st,"$50,777",,,,
New York University (NYU),Tandon School of Engineering,"$43,200",1.45,2025-2026,1st,"$43,200",,,,
New School,sociology,"$25,000",0.84,2025-2026,3rd,,"$25,000",,,4 years guaranteed funding
Brown University,Chemistry,"$52,000",2.29,2025-2026,1st,"$52,000",,,,Good
Auburn University (AU),Human Development and Family Science (HDFS),"$18,435",0.85,2025-2026,2nd,,"$18,435",,,"After tax, comes out to a little over $1,900 per month"
North Dakota State University (NDSU),Computer Science,"$9,900",0.52,2025-2026,1st,,"$9,900",,,TA ship.
Purdue University - West Lafayette,Computer Science,"$30,632",1.45,2025-2026,1st,"$31,632",,,"$1,000",
University of Massachusetts - Amherst (UMass),Chemistry,"$50,000",2.18,2025-2026,6th and up,"$50,000",,,,
University of Rochester (UR),Business School,"$35,500",1.66,2025-2026,1st,"$35,500",,,,
weill cornell medicine,PBSB,"$54,000",,2025-2026,2nd,"$54,000",,,,
University of South Carolina (USC),Statistics ,"$21,000",0.93,2022-2023,,,"$22,000",,"$1,000",
University of Arizona (U of A),Biomedical Engineering,"$30,440",1.47,2025-2026,1st,,"$23,415","$7,025",,
Washington University in St. Louis (Wash U),Psychology,"$37,853",1.83,2025-2026,1st,"$37,853",,,,
University of Wisconsin - Madison (UW),Endocrinology and Reproductive Physiology ,"$35,500",1.55,2025-2026,3rd,"$37,000",,,"$1,500",
University of Louisville (U of L),Biostatistics,"$2,083",0.10,2024-2025,1st,"$2,083",,,,
University of Pennsylvania,Sociology,"$43,050",1.79,2025-2026,,"$43,050",,,,
Harvard University (HU),"Government, PhD","$50,000",1.75,2025-2026,2nd,"$50,000",,,,
University of Chicago (UC),Chemistry,"$45,000",1.85,2024-2025,1st,"$45,000",,,,
Princeton University,Economics,"$51,516",2.03,2025-2026,1st,"$51,516",,,,
New York University (NYU),Humanities,"$36,050",1.21,2025-2026,1st,,"$36,050",,,
University of Rochester (UR),Music Composition,"$25,000",1.17,2025-2026,2nd,,"$25,000",,,New minimum stipend of $25000 effective 25 Fall
University of Texas Southwestern Medical Center - Dallas,BBS,"$40,000",1.85,2025-2026,1st,"$40,000",,,,
Utah State University (USU),Computer Science,"$18,300",0.88,2025-2026,1st,,"$19,200",,$900,Please change the stipend detail of Computer Science in USU. It is not what it shows in your data.
Louisiana State University - Baton Rouge,Mass Communication,"$25,000",1.15,2025-2026,3rd,,"$25,000",,,
University of Chicago (UC),Physics,"$46,350",1.91,2025-2026,1st,"$46,350",,,,
University of Nevada - Las Vegas (UNLV),Mechanical Engineering,"$19,000",0.84,2025-2026,2nd,,"$22,000",,"$3,000","They cover and pay for up-to 9 credits, health insurance through the school and then any non-resident fees. This *does not* include the differential for Engineering Grad level classes which was $720 per semester plus the myriad of fees each semester.
The stipend is paid monthly like a paycheck.
I am expected to TA (teach a lab class, or grade) for 20 hours per week.
I pay ~$1700 a month for a 2 bed room apartment which I share with my spouse who is in Dental School (gotta love student loans).
My summer support will come through an internship of some sort."
Tufts University (TU),ECE,"$48,500",1.74,2025-2026,3rd,"$48,500",,,,
Texas Tech University (TTU),ECE,"$22,000",1.09,2025-2026,1st,,"$22,000",,,
University of Illinois - Urbana- Champaign (UIUC),Economics,"$30,700",1.40,2025-2026,1st,"$31,000",,,$300,
University of Texas - Austin (UT),Finance,"$43,500",1.91,2024-2025,2nd,"$43,500",,,,"McCombs School of Business; 
22000 stipend + 21500 TA wage (inflation-adjusted every year);
TA every semester since the 1st year, the workload is typically high (though you mileage can vary)"
University of California - Riverside (UCR),Physics,"$47,128",1.95,2025-2026,1st,"$47,128",,,,
,,"$24,000",,2025-2026,1st,,"$24,000",,,
Johns Hopkins University (JHU),Human Genetics,"$50,000",1.94,2025-2026,3rd,"$50,000",,,,"Pay will be increased to $52,000 starting in July 2026 and will run until the same time the following year, after which the collective bargaining agreement ends"
Harvard University (HU),Public Policy,"$51,500",1.80,2025-2026,,"$51,500",,,,
University of Wisconsin - Madison (UW),History,"$34,157",1.50,2025-2026,1st,,"$29,157","$5,000",,
University of North Carolina - Chapel Hill (UNC),Urban and Regional Planning,"$40,000",1.80,2022-2023,3rd,"$40,000",,,,With summer stipend and summer course teaching
University of Cincinnati (UC),CS,"$26,589",1.38,2024-2025,2nd,"$26,839",,,$250,$125 international fee for 2 semester. 
University of Alabama - Huntsville (UAH),BSE,"$23,000",1.08,2025-2026,2nd,,"$18,000","$5,000",,
Georgia State University (GSU),Computer Science,"$20,166",0.87,2024-2025,1st,"$20,166",,,,"It is not even sufficient to survive in Atlanta. As TAs, we work too much (1.5-2 times the workload compared with GT and Emory) but get too little.  In my case, every semester I need to instruct 4 sections of labs and each lab is 100min. The school does not provide insurance and has a high insurance requirement, so the insurance fee is 250ish per month. The student fee is 700ish  per semester."
University of California - Davis (UCD),Nutrition,"$38,610",1.61,2025-2026,3rd,,"$30,000","$8,610",,
University of South Carolina (USC),Biostatistics,"$21,000",0.93,2025-2026,4th,,"$21,000",,,
Duke University (DU),Electrical and Computer Engineering ,"$39,521",1.78,2025-2026,4th,"$40,000",,,$479,
University of Kentucky (UK),Mechanical Engineering ,"$28,400",1.39,2025-2026,4th,"$28,400",,,,
University of Georgia (UGA),ECE,$-700,-0.03,2024-2025,5th,"$2,300",,,"$3,000","Need to pay half health insurance ourselves, which is around 1800 a year. "
Duke University (DU),Economics,"$42,500",1.91,2025-2026,1st,"$42,500",,,,Great program. Hope to survive.
Johns Hopkins University (JHU),cellular and molecular medicine,"$50,000",1.94,2025-2026,4th,"$50,000",,,,
University of Notre Dame (ND),,"$37,913",1.85,2024-2025,3rd,"$38,000",,,$87,
Georgia State University (GSU),Data Science,"$22,500",0.97,2025-2026,1st,,"$22,500",,,
Cornell University (CU),Applied physics ,"$44,000",1.81,2025-2026,1st,"$44,000",,,,
,,"$21,000",,2022-2023,,"$27,000",,,"$6,000",
Texas A&amp;M; University - College Station,Computer Science and Engineering,"$22,500",,2025-2026,1st,,"$22,500",,,
Texas A&amp;M; University - College Station,Computer Science,"$2,500",,2025-2026,1st,,"$2,500",,,
Yale University (YU),Economics,"$60,017",2.43,2025-2026,1st,"$60,017",,,,
University of Texas - Austin (UT),Oden,"$37,000",1.62,2024-2025,2nd,"$37,000",,,,
Texas A&amp;M; University - College Station,Mechanical engineering,"$2,500",,2025-2026,1st,"$2,500",,,,
