University,Department,Overall Pay,LW Ratio,Academic Year,Program Year,12 M Gross Pay,9 M Gross Pay,3 M Gross Pay,Fees,Comments
University of Iowa (UI),Philosophy,"$21,734",0.98,2025-2026,2nd,,"$22,500",,$766,"Appointments cover half of mandatory fees; $716 per semester must be pay out of pocket ($516 for residents and an extra $250 added for international students). After taxes, the income is around $1800 a month for nine months. Housing in Iowa City costs more than half of the pay for many. 

I think you should avoid this PhD program. Faculty are rude and feedback is not useful when it is given (sometime there is no feedback). There is no mentorship and students are left to navigate everything themselves. The academics are weak and I have heard that institutional support could be less in the future as some faculty will be retiring. Prospective students may want to compare other programs that are more committed and have better results for students."
Rensselaer Polytechnic Institute (RPI),"Physics, Applied Physics, and Astronomy","$33,518",1.47,2025-2026,3rd,,"$27,090","$9,030","$2,602",
CUNY Graduate School and University Center,Psychology ,"$30,000",1.01,2025-2026,1st,"$30,000",,,,
Cornell University (CU),Horticulture,"$42,000",1.73,2025-2026,2nd,"$42,000",,,,Includes health insurance
Emory University,Psychology,"$42,500",1.82,2025-2026,1st,"$43,000",,,$500,
North Carolina State University (NCSU),ms communication,"$12,600",0.55,2025-2026,2nd,,"$15,000",,"$2,400",
University of Georgia (UGA),,"$25,730",1.22,2024-2025,1st,"$29,430",,,"$3,700",
Lehigh University,Engineering ,"$34,786",1.56,2025-2026,1st,"$35,016",,,$230,I pay $550 annually for health insurance. 
University of Nebraska - Lincoln (NU),Statistics,"$25,500",1.31,2025-2026,2nd,,"$24,000","$4,500","$3,000","The base pay before tax and fees is 24000$ (for 9 months of work) paid out in 10 months. For the summer you gotta secure either internship, or an RA where the salary is the usual monthly rate. "
University of Illinois - Urbana- Champaign (UIUC),Bioengineering,"$31,204",1.42,2025-2026,1st,"$32,274",,,"$1,070",
University of Waterloo,Economics,"$20,000",,2017-2018,1st,,"$10,000","$13,000","$3,000","Got a $3,000 top up and 2 $5,000 entrance scholarships"
University of Nevada - Reno (UNR),civil eng,"$19,000",0.90,2025-2026,,"$22,000",,,"$3,000",
Rutgers the State University of New Jersey - New Brunswick,Earth and Planetary Sciences,"$38,500",1.49,2025-2026,2nd,"$40,000",,,"$1,500",
University of South Carolina (USC),Chemical Enegineering,"$35,000",1.55,2025-2026,1st,"$35,000",,,,
University of Southern California (USC),Gerontology,"$41,200",1.59,2025-2026,1st,"$41,200",,,,
University of Texas - Austin (UT),computer,"$36,000",1.58,2022-2023,1st,"$45,000",,,"$9,000",
Emory University,Nursing,"$42,000",1.80,2025-2026,1st,"$42,000",,,,
Clemson University (CU),Mathematical and Statistical Sciences,"$26,800",1.29,2025-2026,2nd,,"$25,000","$5,000","$3,200",A decent amount of money to live in Clemson.
University of Wyoming (UW),Zoology & Physiology,"$15,682",0.75,2025-2026,1st,,"$15,682",,,
University of Maryland - College Park (UMD),Psychology ,"$27,000",0.89,2025-2026,1st,"$27,000",,,,
